MatterID,ClientID,MatterName,PracticeArea,LeadAttorneyID,OpenDate,CloseDate,MatterStatus,BudgetAmount
M0001,C001,Regulatory Response 001,Employment Litigation,A001,2024-12-13,,Active,460000
M0001,C001,Employment Advisory 002,Labor Relations,A001,2024-12-13,,Active,270000
M0003,C003,Workplace Investigation 003,Immigration,A007,2023-05-31,,Active,100000
M0003,C003,Safety Consultation 004,Compliance,A007,2023-05-31,,Active,50000
M0005,C005,Compliance Assessment 005,Workplace Safety,A013,2023-04-01,,Active,120000
M0005,C005,Employment Advisory 006,Employee Benefits,A013,2023-04-01,,Active,340000
M0007,C007,Workplace Investigation 007,Employment Litigation,A019,2025-02-02,2025-09-18,Closed,180000
M0007,C007,Compliance Assessment 008,Labor Relations,A019,2025-02-02,2025-09-18,Closed,470000
M0009,C999,Policy Review 009,Immigration,A025,2023-08-18,2024-09-05,Closed,240000
M0010,C999,Regulatory Response 010,Compliance,A028,2023-03-19,,On Hold,220000
M0011,C999,Safety Consultation 011,Workplace Safety,A031,2024-03-30,,Active,310000
M0012,,Compliance Assessment 012,Employee Benefits,A034,2024-08-06,,Active,230000
M0013,,Benefits Review 013,Employment Litigation,A037,2025-02-08,,Active,390000
M0014,C014,Employment Advisory 014,Labor Relations,,2025-04-26,,Active,320000
M0015,C015,Employment Advisory 015,Immigration,,2025-08-07,,Active,500000
M0016,C016,Regulatory Response 016,Compliance,,2023-01-11,,Active,80000
M0017,C017,Benefits Review 017,Workplace Safety,,2023-07-25,,Active,370000
M0018,C018,Regulatory Response 018,Employee Benefits,,2025-01-20,,Active,350000
M0019,C019,Benefits Review 019,Employment Litigation,A018,2025-11-23,2025-10-17,Closed,460000
M0020,C020,Compliance Assessment 020,Labor Relations,A021,2025-04-25,2025-03-15,Closed,370000
M0021,C001,Labor Negotiation 021,Immigration,A024,2023-06-16,2023-04-25,Closed,60000
M0022,C002,Immigration Support 022,Compliance,A027,2024-01-04,2023-12-18,Closed,400000
M0023,C003,Policy Review 023,Workplace Safety,A030,2024-07-07,,Active,370000
M0024,C004,Safety Consultation 024,Employee Benefits,A033,2024-01-10,,Active,450000
M0025,C005,Litigation Defense 025,Employment Litigation,A036,2023-09-20,,Active,370000
M0026,C006,Safety Consultation 026,Labor Relations,A002,2024-09-01,,Active,330000
M0027,C007,Policy Review 027,Immigration,A005,2024-01-13,2024-07-26,Closed,70000
M0028,C008,Employment Advisory 028,Compliance,A008,2025-04-03,2025-09-05,Closed,280000
M0029,C009,Immigration Support 029,Workplace Safety,A011,2025-02-06,2025-06-09,Closed,410000
M0030,C010,Labor Negotiation 030,Employee Benefits,A014,2023-05-14,,On Hold,50000
M0031,C011,Employment Advisory 031,Employment Litigation,A017,2024-01-17,,Active,360000
M0032,C012,Regulatory Response 032,Labor Relations,A020,2025-08-06,,Active,400000
M0033,C013,Labor Negotiation 033,Immigration,A023,2024-06-18,,Active,450000
M0034,C014,Workplace Investigation 034,Compliance,A026,2025-10-04,,Active,140000
M0035,C015,Immigration Support 035,Workplace Safety,A029,2023-10-06,,Active,270000
