InvoiceID,MatterID,InvoiceDate,InvoiceAmount,InvoiceStatus,PaymentDate
INV0001,M0064,2024-09-24,-51300.73,Submitted,
INV0002,M0115,2025-06-05,-71400.7,Draft,
INV0003,M0056,2026-04-24,-3800.13,Paid,2026-05-21
INV0004,M0022,2025-02-19,-23300.06,Draft,
INV0005,M0042,2025-11-29,-58200.75,Overdue,
INV0006,M0146,2024-05-15,-13100.74,Overdue,
INV0007,M0093,2025-10-15,-65700.93,Draft,
INV0008,M0050,2025-04-29,-44900.24,Paid,2025-05-22
INV0009,M0121,2025-02-19,-34300.17,Draft,
INV0010,M0109,2025-11-07,-54200.16,Submitted,
INV0011,M0074,2025-12-31,-46000.98,Paid,2026-03-09
INV0012,M0118,2026-04-28,-64300.51,Overdue,
INV0013,M0005,2023-05-05,-4200.1,Overdue,
INV0014,M0032,2026-04-26,-7400.21,Submitted,
INV0015,M0110,2026-03-25,-53100.44,Submitted,
INV0016,M0109,2024-12-25,74300.29,Submitted,
INV0017,M0022,2023-11-23,26200.93,Draft,
INV0018,M0081,2025-01-22,74700.04,Overdue,
INV0019,M0039,2024-01-29,70900.79,Submitted,
INV0020,M0065,2025-08-08,39500.47,Submitted,
INV0021,M0084,2024-05-01,68700.84,Draft,
INV0022,M0068,2023-07-03,17600.93,Submitted,
INV0023,M0096,2025-04-22,7200,Overdue,
INV0024,M0091,2023-04-28,36600.62,Submitted,
INV0025,M0086,2024-06-07,25100.51,Submitted,
INV0026,M0144,2024-04-10,29800.8,Draft,
INV0027,M0089,2025-04-25,48800.84,Overdue,
INV0028,M0060,2023-12-24,19300.18,Overdue,
INV0029,M0143,2025-03-21,7600.83,Submitted,
INV0030,M0090,2023-03-23,60600.83,Overdue,
INV0031,M0013,2025-01-07,20500.4,Submitted,
INV0032,M0108,2024-12-12,13000.74,Draft,
INV0033,M0082,2024-05-28,29900.29,Draft,
INV0034,M0070,2025-09-01,60600.52,Draft,
INV0035,M0020,2025-03-16,42100.17,Draft,
INV0036,M0122,2023-03-21,29400.35,Submitted,
INV0037,M0131,2024-05-11,21100.81,Submitted,
INV0038,M0054,2024-04-09,16100.23,Submitted,
INV0039,M0007,2025-01-25,9900.67,Overdue,
INV0040,M0089,2025-04-03,50300.4,Submitted,
INV0041,M0091,2026-07-17,52600.03,Submitted,
INV0042,M0069,2025-10-04,40100.89,Submitted,
INV0043,M0103,2025-04-26,23300.51,Overdue,
INV0044,M0057,2024-01-07,74900.11,Overdue,
INV0045,M0029,2025-04-13,74700.22,Submitted,
INV0046,M0074,2026-03-01,41600.52,Draft,
INV0047,M0116,2025-02-16,54600.35,Paid,2025-03-01
INV0048,M0014,2026-06-29,2300.22,Paid,2026-07-31
INV0049,M0081,2026-05-09,6700.29,Submitted,
INV0050,M0137,2024-06-04,2300.45,Paid,2024-06-23
INV0051,M0149,2024-07-06,19000.24,Submitted,
INV0052,M0034,2026-07-01,49700.74,Draft,
INV0053,M0078,2024-04-04,47300.31,Overdue,
INV0054,M0124,2025-02-18,29500.96,Draft,
INV0055,M0080,2026-04-19,21000.24,Paid,2026-05-01
INV0056,M0088,2024-02-07,11300.71,Submitted,
INV0057,M0054,2024-07-01,27400.41,Submitted,
INV0058,M0026,2025-04-12,5300.91,Overdue,
INV0059,M0067,2023-03-06,56400.31,Submitted,
INV0060,M0085,2026-01-08,50400.68,Paid,2026-02-25
INV0061,M0027,2024-02-19,68200,Overdue,
INV0062,M0135,2026-05-04,60900.93,Paid,2026-07-18
INV0063,M0078,2024-08-14,64700.62,Overdue,
INV0064,M0073,2026-02-04,35800.11,Paid,2026-02-27
INV0065,M0016,2025-11-28,35400.01,Draft,
INV0066,M0041,2026-04-23,22100.62,Draft,
INV0067,M0113,2026-04-27,27400.23,Draft,
INV0068,M0120,2026-04-14,23200.89,Submitted,
INV0069,M0009,2024-06-09,55600.11,Overdue,
