DefectID,RuleID,TableName,SourceRowNumber,RecordID,FieldName,OriginalValue,InjectedValue,ExpectedSeverity,ExpectedIssueDescription
DEF0001,DQ002,Matters,2,M0001@row2,MatterID,M0001,M0001,Critical,MatterID M0001 now appears in more than one source row.
DEF0002,DQ002,Matters,3,M0001@row3,MatterID,M0002,M0001,Critical,MatterID M0002 was changed to duplicate M0001.
DEF0003,DQ002,Matters,4,M0003@row4,MatterID,M0003,M0003,Critical,MatterID M0003 now appears in more than one source row.
DEF0004,DQ002,Matters,5,M0003@row5,MatterID,M0004,M0003,Critical,MatterID M0004 was changed to duplicate M0003.
DEF0005,DQ002,Matters,6,M0005@row6,MatterID,M0005,M0005,Critical,MatterID M0005 now appears in more than one source row.
DEF0006,DQ002,Matters,7,M0005@row7,MatterID,M0006,M0005,Critical,MatterID M0006 was changed to duplicate M0005.
DEF0007,DQ002,Matters,8,M0007@row8,MatterID,M0007,M0007,Critical,MatterID M0007 now appears in more than one source row.
DEF0008,DQ002,Matters,9,M0007@row9,MatterID,M0008,M0007,Critical,MatterID M0008 was changed to duplicate M0007.
DEF0009,DQ001,Matters,10,M0009@row10,ClientID,C009,C999,Critical,Matter does not reference an existing client.
DEF0010,DQ001,Matters,11,M0010@row11,ClientID,C010,C999,Critical,Matter does not reference an existing client.
DEF0011,DQ001,Matters,12,M0011@row12,ClientID,C011,C999,Critical,Matter does not reference an existing client.
DEF0012,DQ001,Matters,13,M0012@row13,ClientID,C012,,Critical,Matter does not reference an existing client.
DEF0013,DQ001,Matters,14,M0013@row14,ClientID,C013,,Critical,Matter does not reference an existing client.
DEF0014,DQ003,Matters,15,M0014@row15,LeadAttorneyID,A003,,High,Active matter has no valid lead attorney.
DEF0015,DQ003,Matters,16,M0015@row16,LeadAttorneyID,A006,,High,Active matter has no valid lead attorney.
DEF0016,DQ003,Matters,17,M0016@row17,LeadAttorneyID,A009,,High,Active matter has no valid lead attorney.
DEF0017,DQ003,Matters,18,M0017@row18,LeadAttorneyID,A012,,High,Active matter has no valid lead attorney.
DEF0018,DQ003,Matters,19,M0018@row19,LeadAttorneyID,A015,,High,Active matter has no valid lead attorney.
DEF0019,DQ004,Matters,20,M0019@row20,CloseDate,2026-07-31,2025-10-17,High,Matter close date is earlier than its open date.
DEF0020,DQ004,Matters,21,M0020@row21,CloseDate,,2025-03-15,High,Matter close date is earlier than its open date.
DEF0021,DQ004,Matters,22,M0021@row22,CloseDate,,2023-04-25,High,Matter close date is earlier than its open date.
DEF0022,DQ004,Matters,23,M0022@row23,CloseDate,,2023-12-18,High,Matter close date is earlier than its open date.
DEF0023,DQ005,TimeEntries,2,TE00001,HoursWorked,8,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0024,DQ005,TimeEntries,3,TE00002,HoursWorked,0.5,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0025,DQ005,TimeEntries,4,TE00003,HoursWorked,2,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0026,DQ005,TimeEntries,5,TE00004,HoursWorked,6.5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0027,DQ005,TimeEntries,6,TE00005,HoursWorked,5.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0028,DQ005,TimeEntries,7,TE00006,HoursWorked,2,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0029,DQ005,TimeEntries,8,TE00007,HoursWorked,1,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0030,DQ005,TimeEntries,9,TE00008,HoursWorked,7.5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0031,DQ005,TimeEntries,10,TE00009,HoursWorked,4.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0032,DQ005,TimeEntries,11,TE00010,HoursWorked,7,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0033,DQ005,TimeEntries,12,TE00011,HoursWorked,0.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0034,DQ005,TimeEntries,13,TE00012,HoursWorked,5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0035,DQ005,TimeEntries,14,TE00013,HoursWorked,1.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0036,DQ005,TimeEntries,15,TE00014,HoursWorked,5.5,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0037,DQ005,TimeEntries,16,TE00015,HoursWorked,5.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
