TimeEntryID,MatterID,AttorneyID,WorkDate,HoursWorked,BillingRate,BillableAmount,Description
TE00001,M0107,A036,2025-06-25,0,375,0,Prepared for witness interview
TE00002,M0066,A003,2026-03-17,-1,425,-425,Reviewed case documents and prepared analysis
TE00003,M0066,A026,2026-07-03,25,525,13125,Reviewed case documents and prepared analysis
TE00004,M0030,A020,2023-07-10,30,625,18750,Reviewed discovery materials
TE00005,M0043,A014,2025-07-25,0,600,0,Reviewed discovery materials
TE00006,M0129,A022,2023-05-19,-1,675,-675,Reviewed billing and budget status
TE00007,M0133,A011,2023-12-20,25,525,13125,Drafted correspondence and legal memorandum
TE00008,M0100,A029,2026-04-15,30,600,18000,Reviewed discovery materials
TE00009,M0067,A001,2023-05-10,0,650,0,Coordinated matter planning with client team
TE00010,M0139,A035,2023-07-10,-1,625,-625,Performed legal research
TE00011,M0124,A004,2025-09-13,25,725,18125,Reviewed case documents and prepared analysis
TE00012,M0103,A034,2025-11-12,30,725,21750,Performed legal research
TE00013,M0093,A027,2024-03-13,0,400,0,Prepared for witness interview
TE00014,M0041,A001,2025-07-23,-1,650,-650,Performed legal research
TE00015,M0145,A009,2025-11-26,25,450,11250,Prepared matter status update
TE00016,M0053,A027,2025-12-17,30,400,12000,Performed legal research
TE00017,M0078,A003,2024-09-13,0,425,0,Performed legal research
TE00018,M0001,A034,2025-11-27,-1,725,-725,Analyzed regulatory and compliance requirements
TE00019,M0031,A008,2024-10-25,25,575,14375,Analyzed regulatory and compliance requirements
TE00020,M0038,A025,2023-10-03,30,750,22500,Conducted client strategy conference
TE00021,M0140,A006,2025-08-06,0,375,0,Drafted correspondence and legal memorandum
TE00022,M0003,A030,2024-10-15,-1,475,-475,Analyzed regulatory and compliance requirements
TE00023,M0113,A033,2025-05-11,25,425,10625,Analyzed regulatory and compliance requirements
TE00024,M0014,A036,2025-07-15,30,375,11250,Prepared for witness interview
TE00025,M0058,A003,2024-02-22,0,425,0,Prepared for witness interview
TE00026,M0015,A018,2025-11-22,-1,425,-425,Reviewed discovery materials
TE00027,M0102,A018,2026-02-12,25,425,10625,Reviewed case documents and prepared analysis
TE00028,M0005,A013,2024-07-07,30,700,21000,Analyzed regulatory and compliance requirements
TE00029,M0079,A027,2026-03-22,0,400,0,Conducted client strategy conference
TE00030,M0064,A025,2025-11-28,-1,750,-750,Reviewed case documents and prepared analysis
TE00031,M0076,A001,2026-07-21,25,650,16250,Reviewed case documents and prepared analysis
