InvoiceID,MatterID,InvoiceDate,InvoiceAmount,InvoiceStatus,PaymentDate
INV0001,M0064,2024-09-24,-51300.73,Submitted,
INV0002,M0115,2025-06-05,-71400.7,Draft,
INV0003,M0056,2026-04-24,-3800.13,Paid,2026-05-21
INV0004,M0022,2025-02-19,-23300.06,Draft,
INV0005,M0042,2025-11-29,-58200.75,Overdue,
INV0006,M0146,2024-05-15,-13100.74,Overdue,
INV0007,M0093,2025-10-15,-65700.93,Draft,
INV0008,M0050,2025-04-29,-44900.24,Paid,2025-05-22
INV0009,M0121,2025-02-19,-34300.17,Draft,
INV0010,M0109,2025-11-07,-54200.16,Submitted,
